| 単語      | うれしい | 喜び   | 期待   | 安心   | 驚き   | 愛情   | 信頼   | 誇り   | 羞恥   | 嫉妬   | 嫌悪   | 興奮   | 悲しい  | 怒り   |
| ------- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| **殺す**  | 0.00 | 0.00 | 0.00 | 0.00 | 0.06 | 0.00 | 0.00 | 0.06 | 0.17 | 0.34 | 0.46 | 0.23 | 0.51 | 0.57 |
| **守る**  | 0.30 | 0.25 | 0.34 | 0.39 | 0.15 | 0.44 | 0.44 | 0.30 | 0.00 | 0.05 | 0.00 | 0.25 | 0.05 | 0.10 |
| **助ける** | 0.34 | 0.38 | 0.38 | 0.34 | 0.21 | 0.34 | 0.34 | 0.30 | 0.04 | 0.04 | 0.00 | 0.30 | 0.09 | 0.09 |
| **笑う**  | 0.46 | 0.42 | 0.28 | 0.32 | 0.28 | 0.32 | 0.23 | 0.19 | 0.05 | 0.00 | 0.00 | 0.37 | 0.14 | 0.05 |
| **泣く**  | 0.06 | 0.06 | 0.06 | 0.12 | 0.24 | 0.30 | 0.18 | 0.18 | 0.18 | 0.18 | 0.36 | 0.12 | 0.61 | 0.42 |
| **裏切る** | 0.00 | 0.00 | 0.11 | 0.05 | 0.16 | 0.05 | 0.00 | 0.00 | 0.33 | 0.38 | 0.49 | 0.16 | 0.44 | 0.49 |
| **信じる** | 0.37 | 0.33 | 0.33 | 0.37 | 0.16 | 0.41 | 0.41 | 0.25 | 0.00 | 0.00 | 0.00 | 0.29 | 0.04 | 0.04 |
| **怒鳴る** | 0.06 | 0.00 | 0.00 | 0.00 | 0.17 | 0.00 | 0.00 | 0.12 | 0.29 | 0.35 | 0.35 | 0.35 | 0.41 | 0.58 |

